Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Al-Kharj, Saudi Arabia",2/29/2000,77.1,50.1,63.4,,,0,,,16.1,40.87,,6.8,0,34.3,Clear
"Al-Kharj, Saudi Arabia",3/1/2000,78.9,50.1,66.2,,,0,,,13.9,151.11,,6.8,0,30.67,Clear
"Al-Kharj, Saudi Arabia",3/2/2000,71.7,55.5,65,,,0,,,24.2,296.52,,3.2,17.4,28.84,Clear
"Al-Kharj, Saudi Arabia",3/3/2000,71.7,48.3,58,43.8,,0,,,23,280,,4.7,0,35.77,Clear
"Al-Kharj, Saudi Arabia",3/4/2000,77.1,48.3,61.9,45.7,,0,,,13.9,196.67,,6.3,0,31.72,Clear
"Al-Kharj, Saudi Arabia",3/5/2000,84.3,57.3,68.9,,81.5,0,,,21.9,246.09,,4.7,0,24.7,Clear
"Al-Kharj, Saudi Arabia",3/6/2000,78.9,50.1,62.5,,,0,,,11.4,117.65,,6.7,0,31.37,Clear
"Al-Kharj, Saudi Arabia",3/7/2000,80.7,51.9,66,,79.1,0,,,19.5,153.64,,6.8,0,29.09,Clear
"Al-Kharj, Saudi Arabia",3/8/2000,87.9,62.7,73.9,,84.6,0,,,17.2,176.52,,6.5,0,24.45,Clear
"Al-Kharj, Saudi Arabia",3/9/2000,71.7,55.5,62.5,,,0,,,18.3,35.83,,3.3,15,34.26,Clear
"Al-Kharj, Saudi Arabia",3/10/2000,75.3,50.1,59.3,,,0,,,15,141.82,,6.5,0,29.44,Clear
"Al-Kharj, Saudi Arabia",3/11/2000,78.9,51.9,64.3,,,0,,,10.3,127.5,,6.8,0,25.02,Clear
"Al-Kharj, Saudi Arabia",3/12/2000,80.7,51.9,67.9,,79,0,,,5.8,161.11,,6.8,0,23.68,Clear
"Al-Kharj, Saudi Arabia",3/13/2000,82.5,55.5,69.2,,80.2,0,,,12.8,175.22,,6.8,0,21.69,Clear
"Al-Kharj, Saudi Arabia",3/14/2000,89.7,60.9,74.5,,86.5,0,,,23,171.82,,5.9,8.3,22.46,Clear
"Al-Kharj, Saudi Arabia",3/15/2000,80.7,55.5,68.4,,79.3,0,,,17.2,86.67,,6.8,1.3,33.95,Clear
"Al-Kharj, Saudi Arabia",3/16/2000,78.9,55.5,68,,,0,,,16.1,71.36,,6.8,23.2,33.79,Clear
"Al-Kharj, Saudi Arabia",3/17/2000,84.3,55.5,70.1,,81.6,0,,,13.9,125.26,,6.8,17.1,31,Clear
"Al-Kharj, Saudi Arabia",3/18/2000,91.5,60.9,76.4,,88.2,0,,,16.1,156.82,,6.8,8.2,26.2,Clear
"Al-Kharj, Saudi Arabia",3/19/2000,89.7,64.5,76.7,,85.8,0,,,18.3,140,,6.6,0,21.13,Clear
"Al-Kharj, Saudi Arabia",3/20/2000,89.7,60.9,75.5,,85.8,0,,,15,115.71,,6.8,6.8,22.02,Clear
"Al-Kharj, Saudi Arabia",3/21/2000,91.5,62.7,77.4,,87.5,0,,,19.5,157.5,,6.8,11.7,20.56,Clear
"Al-Kharj, Saudi Arabia",3/22/2000,93.3,66.3,79.8,,89.3,0,,,21.9,160.43,,6.4,16.1,19.88,Clear
"Al-Kharj, Saudi Arabia",3/23/2000,98.7,69.9,83.8,,95.3,0,,,25.3,166.82,,5.2,8.6,19.23,Clear
"Al-Kharj, Saudi Arabia",3/24/2000,96.9,69.9,83.9,,93.2,0,,,27.5,180.87,,3.7,88.3,18.72,Overcast
"Al-Kharj, Saudi Arabia",3/25/2000,80.7,64.5,71.8,,79.3,0,,,27.5,19.57,,2.4,41.7,32.96,Partially cloudy
"Al-Kharj, Saudi Arabia",3/26/2000,78.9,59.1,68.4,,,0,,,20.8,207.92,,4.2,23.3,31.2,Clear
"Al-Kharj, Saudi Arabia",3/27/2000,80.7,57.3,68.4,,79.1,0,,,11.4,49.29,,6.2,34.8,27.69,Partially cloudy
"Al-Kharj, Saudi Arabia",3/28/2000,78.9,59.1,69.7,,,0,,,13.9,232.5,,6.8,63.8,25.58,Partially cloudy
"Al-Kharj, Saudi Arabia",3/29/2000,82.5,64.5,71.8,,80.1,0,,,16.1,173,,6.8,7.5,18.49,Clear
"Al-Kharj, Saudi Arabia",3/30/2000,86.1,57.3,71.9,,82.8,0,,,10.3,159.29,,6.8,41.3,16.85,Partially cloudy
"Al-Kharj, Saudi Arabia",3/31/2000,82.5,59.1,72.8,,80.2,0,,,17.2,141.67,,6.8,59.6,20.83,Partially cloudy
"Al-Kharj, Saudi Arabia",4/1/2000,86.1,64.5,74.5,,85.6,0.01,,,13.9,106.84,,6.8,61.3,38.42,"Rain, Partially cloudy"
"Al-Kharj, Saudi Arabia",4/2/2000,89.7,68.1,78,,86.5,0,,,12.8,136.36,,6.8,46.5,30.96,Partially cloudy
"Al-Kharj, Saudi Arabia",4/3/2000,95.1,68.1,81.7,,92.8,0,,,17.2,149.58,,6.8,8.8,27.28,Clear
"Al-Kharj, Saudi Arabia",4/4/2000,96.9,69.9,84.6,,94.7,0,,,13.9,201.43,,6.8,51.7,26.27,Partially cloudy
"Al-Kharj, Saudi Arabia",4/5/2000,96.9,75.3,85.1,,94.7,0,,,13.9,123.08,,6.8,68.7,28.12,Partially cloudy
"Al-Kharj, Saudi Arabia",4/6/2000,96.9,77.1,87.1,,96.7,0,,,17.2,233.48,,6.8,69.6,27.41,Partially cloudy
"Al-Kharj, Saudi Arabia",4/7/2000,100.5,66.3,82.5,,99.2,0,,,11.4,144.76,,6.8,55.7,27.73,Partially cloudy
"Al-Kharj, Saudi Arabia",4/8/2000,95.1,73.5,84.4,,93.4,0,,,12.8,141.9,,6.8,86.1,28.69,Overcast
"Al-Kharj, Saudi Arabia",4/9/2000,100.5,77.1,88.9,,100.7,0,,,13.9,200.91,,6.8,69.1,27.62,Partially cloudy
"Al-Kharj, Saudi Arabia",4/10/2000,100.5,78.9,89.2,,100.7,0,,,18.3,144.67,,6.6,23,27.78,Clear
"Al-Kharj, Saudi Arabia",4/11/2000,93.3,71.7,81.6,,90.2,0,,,13.9,47.83,,6.2,13,28.23,Clear
"Al-Kharj, Saudi Arabia",4/12/2000,93.3,68.1,79.9,,90.2,0,,,16.1,140,,6.7,0,27,Clear
"Al-Kharj, Saudi Arabia",4/13/2000,102.3,68.1,84.4,,96.8,0,,,12.8,238.64,,6.8,0,20.08,Clear
"Al-Kharj, Saudi Arabia",4/14/2000,104.1,69.9,86.3,,98.8,0,,,9.2,168.67,,6.8,0,16.52,Clear
"Al-Kharj, Saudi Arabia",4/15/2000,109.5,69.9,89.8,,103.1,0,,,11.4,161.33,,6.8,31.7,15.6,Partially cloudy
"Al-Kharj, Saudi Arabia",4/16/2000,109.5,73.5,90.8,,103.1,0,,,11.4,151.33,,6.8,64.2,14.2,Partially cloudy
"Al-Kharj, Saudi Arabia",4/17/2000,96.9,78.9,88.3,,92.7,0,,,19.5,231.74,,3.8,87.5,17.57,Overcast
"Al-Kharj, Saudi Arabia",4/18/2000,96.9,73.5,85.7,,92.5,0,,,9.2,138,,6,93.9,19.23,Overcast
"Al-Kharj, Saudi Arabia",4/19/2000,102.3,86.1,95.7,,97.9,0,,,15,164.55,,6.5,27.1,16.46,Partially cloudy
"Al-Kharj, Saudi Arabia",4/20/2000,105.9,73.5,89.4,,101.3,0,,,15,162.86,,6.8,5.7,17.31,Clear
"Al-Kharj, Saudi Arabia",4/21/2000,109.5,82.5,96,,105.5,0,,,12.8,234.09,,6.6,19.1,15.46,Clear
"Al-Kharj, Saudi Arabia",4/22/2000,100.5,77.1,88.3,,96.1,0,,,18.3,68.18,,2.9,58.2,22.1,Partially cloudy
"Al-Kharj, Saudi Arabia",4/23/2000,105.9,71.7,88.7,,100.1,0,,,12.8,150,,5.8,56.8,18.11,Partially cloudy
"Al-Kharj, Saudi Arabia",4/24/2000,107.7,75.3,89.7,,101.9,0,,,25.3,152.78,,6.3,51.4,15.77,Partially cloudy
"Al-Kharj, Saudi Arabia",4/25/2000,105.9,77.1,90.9,,102.1,0.02,,,27.5,86.09,,4.4,49.2,19.53,"Rain, Partially cloudy"
"Al-Kharj, Saudi Arabia",4/26/2000,104.1,75.3,88.2,,100.3,0,,,25.3,76.52,,5.3,48.3,17.91,Partially cloudy
"Al-Kharj, Saudi Arabia",4/27/2000,102.3,69.9,86.6,,98.5,0,,,18.3,126.96,,6.2,17,19.93,Clear
"Al-Kharj, Saudi Arabia",4/28/2000,98.7,71.7,86.6,,94.2,0,,,13.9,166.96,,6.2,0,17.79,Clear
"Al-Kharj, Saudi Arabia",4/29/2000,104.1,75.3,90.6,,100.3,0,,,17.2,143.16,,5.1,53,22.43,Partially cloudy
"Al-Kharj, Saudi Arabia",4/30/2000,109.5,78.9,94.3,,105.5,0,,,19.5,168.18,,6.8,23,20.3,Clear
"Al-Kharj, Saudi Arabia",5/1/2000,105.9,80.7,92,,101.9,0,,,26.4,232.17,,6.4,64.2,25.76,Partially cloudy
"Al-Kharj, Saudi Arabia",5/2/2000,87.9,69.9,80.1,,84.5,0,,,31.1,200,,4.5,81.8,28.8,Overcast
"Al-Kharj, Saudi Arabia",5/3/2000,100.5,64.5,83.5,,96.4,0,,,11.4,219.38,,6.7,40.8,39.24,Partially cloudy
"Al-Kharj, Saudi Arabia",5/4/2000,104.1,75.3,90.2,,100.3,0,,,10.3,165.88,,6.8,31.7,21.2,Partially cloudy
"Al-Kharj, Saudi Arabia",5/5/2000,109.5,82.5,94.9,,104.6,0,,,16.1,179,,6.8,18.8,17.41,Clear
"Al-Kharj, Saudi Arabia",5/6/2000,107.7,80.7,93.8,,102.2,0,,,16.1,181,,6.8,0,14.71,Clear
"Al-Kharj, Saudi Arabia",5/7/2000,107.7,78.9,95.2,,102.2,0,,,16.1,183.68,,6.8,0,13.16,Clear
