Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Sana'a, Yemen",3/11/2000,82.5,55.7,70.5,,80.1,0,,,11.4,60,,4,3.3,29.5,Clear
"Sana'a, Yemen",3/12/2000,78.9,55.5,67,,,0,,,13.9,60,,6.1,10,32.9,Clear
"Sana'a, Yemen",3/13/2000,63.8,50.1,56.9,,,0,,,5.8,50,,6.2,0,45.65,Clear
"Sana'a, Yemen",3/14/2000,80.7,60.9,72.6,,79,0,,,13.9,201.25,,6.5,18.5,25.67,Clear
"Sana'a, Yemen",3/15/2000,80,57.3,69.1,,,0,,,11.4,107.78,,6.3,8.6,27.39,Clear
"Sana'a, Yemen",3/16/2000,82.1,48.3,67.3,,79.9,0,,,11.4,146.67,,6.3,16.7,28.15,Clear
"Sana'a, Yemen",3/17/2000,84.8,68.1,75.6,,81.7,0,,,13.9,332,,7.3,21.8,20.01,Clear
"Sana'a, Yemen",3/18/2000,82.5,59.6,73.6,,80.1,0,,,18.3,162.5,,6.6,36.7,39.57,Partially cloudy
"Sana'a, Yemen",3/19/2000,82.5,53.7,73.4,,80.1,0,,,20.8,91.67,,6.6,38,31.86,Partially cloudy
"Sana'a, Yemen",3/20/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",3/21/2000,84.3,62.7,71.5,,81.4,0,,,17.2,100,,6.4,3.3,21.72,Clear
"Sana'a, Yemen",3/22/2000,80,46.5,68.6,,,0,,,9.2,125.56,,6.3,8.6,26.42,Clear
"Sana'a, Yemen",3/23/2000,84.3,60.9,71.4,,81.3,0,,,13.9,330,,6,6,23.34,Clear
"Sana'a, Yemen",3/24/2000,84.3,71.9,78.5,,81.3,0,,,17.2,237.5,,5.2,32.5,24.55,Partially cloudy
"Sana'a, Yemen",3/25/2000,86.1,59.1,73.3,,82.8,0,,,17.2,251,,6.3,33.8,39.29,Partially cloudy
"Sana'a, Yemen",3/26/2000,80.7,60.9,69.9,,79,0,,,17.2,20,,0.6,20,36.35,Clear
"Sana'a, Yemen",3/27/2000,80.7,66.3,74.1,,79.5,0,,,13.9,286.67,,1.2,44.3,30.6,Partially cloudy
"Sana'a, Yemen",3/28/2000,78.9,59.6,68.1,,,0,,,16.1,285,,4.7,33.8,50.52,Partially cloudy
"Sana'a, Yemen",3/29/2000,79.4,57.3,67.2,,,0,,,16.1,191.67,,7.9,42,38.29,Partially cloudy
"Sana'a, Yemen",3/30/2000,77.1,57.3,67.1,,,0,,,6.9,120,,6.2,34.4,32.09,Partially cloudy
"Sana'a, Yemen",3/31/2000,78.9,59.1,71.4,,,0,,,13.9,181.67,,6.5,42,30.48,Partially cloudy
"Sana'a, Yemen",4/1/2000,76.7,59.1,71.4,,,0,,,18.3,263.33,,6.7,57.1,32.08,Partially cloudy
"Sana'a, Yemen",4/2/2000,78.9,59.1,70.2,,,0,,,13.9,126,,3,30,32.66,Partially cloudy
"Sana'a, Yemen",4/3/2000,79.8,69.9,74.8,,,0,,,11.4,45,,6.5,65,23.52,Partially cloudy
"Sana'a, Yemen",4/4/2000,81.2,66.3,75.3,,79.2,0,,,13.9,126.25,,6.6,47.8,22.35,Partially cloudy
"Sana'a, Yemen",4/5/2000,78.9,62.7,71.4,,,0,,,18.3,85,,6.5,35.4,21.19,Partially cloudy
"Sana'a, Yemen",4/6/2000,78.9,57.3,67.8,,,0,,,20.8,50,,6.4,29,27.48,Partially cloudy
"Sana'a, Yemen",4/7/2000,82.5,60.9,72,,80.1,0,,,11.4,34,,6.4,23.6,26.01,Clear
"Sana'a, Yemen",4/8/2000,80.7,57.3,72.9,,79.1,0,,,13.9,91,,5.4,39.2,24.41,Partially cloudy
"Sana'a, Yemen",4/9/2000,80,71.3,75.6,,,0,,,13.9,70,,6.5,66.9,25.67,Partially cloudy
"Sana'a, Yemen",4/10/2000,80,69.9,76.1,,,0,,,16.1,50,,6.6,71.7,23.77,Partially cloudy
"Sana'a, Yemen",4/11/2000,80.7,66.3,75.5,,79.5,0,,,18.3,49.09,,6.6,44.7,30.37,Partially cloudy
"Sana'a, Yemen",4/12/2000,80.7,59.1,69.2,,79.8,0,,,18.3,61.67,,5.8,48.9,40.74,Partially cloudy
"Sana'a, Yemen",4/13/2000,77.1,62.7,70.1,,,0,,,20.8,38,,5.5,25,31.02,Clear
"Sana'a, Yemen",4/14/2000,82.5,57.3,72,,80,0,,,13.9,172.22,,5.5,29.4,24.03,Partially cloudy
"Sana'a, Yemen",4/15/2000,83,53.9,69.4,,80.4,0,,,16.1,313.33,,6.4,39.1,28.07,Partially cloudy
"Sana'a, Yemen",4/16/2000,84.3,66.3,75.2,,81.5,0,,,16.1,251.11,,6.5,51.7,32.17,Partially cloudy
"Sana'a, Yemen",4/17/2000,80.7,57.3,68.7,,79.3,0,,,18.3,180,,6.5,72.1,50.57,Partially cloudy
"Sana'a, Yemen",4/18/2000,79.8,59.3,69.4,,,0,,,16.1,188.75,,6,84.4,52,Overcast
"Sana'a, Yemen",4/19/2000,84.3,57.3,74,,81.7,0,,,9.2,92,,6.5,49.2,36.21,Partially cloudy
"Sana'a, Yemen",4/20/2000,84.3,57.3,74.9,,81.8,0,,,16.1,203.33,,6.4,52.9,38.16,Partially cloudy
"Sana'a, Yemen",4/21/2000,81.2,59.1,72.1,,79.5,0,,,16.1,292.5,,6.7,45.8,44.12,Partially cloudy
"Sana'a, Yemen",4/22/2000,82.5,64.5,75.4,,80.2,0,,,16.1,73.64,,6.7,42.1,32.07,Partially cloudy
"Sana'a, Yemen",4/23/2000,82.5,60.9,74.4,,80.1,0,,,16.1,207.5,,6.6,56.4,36.92,Partially cloudy
"Sana'a, Yemen",4/24/2000,84.3,64.5,74,,81.6,0,,,20.8,260,,6.7,40,46.35,Partially cloudy
"Sana'a, Yemen",4/25/2000,82.5,60.9,70.5,,80.2,0,,,13.9,146.67,,6.5,48.3,51.38,Partially cloudy
"Sana'a, Yemen",4/26/2000,84.3,73.5,80.1,,81.4,0,,,11.4,162,,6,31.7,24.2,Partially cloudy
"Sana'a, Yemen",4/27/2000,82.5,69.9,77.8,,80.1,0,,,16.1,80,,6.6,56.2,27.88,Partially cloudy
"Sana'a, Yemen",4/28/2000,83,66.3,74.2,,80.4,0,,,15,245,,6,39,33.34,Partially cloudy
"Sana'a, Yemen",4/29/2000,84.3,69.9,76.1,,81.6,0,,,18.3,277,,6.3,63.6,29.65,Partially cloudy
"Sana'a, Yemen",4/30/2000,82.5,64.5,74.7,,80.3,0,,,16.1,110,,6.7,53.8,29.6,Partially cloudy
"Sana'a, Yemen",5/1/2000,73.1,68.1,69.8,,,0,,,0,,,6.4,56.7,51.49,Partially cloudy
"Sana'a, Yemen",5/2/2000,78.5,60.9,65.8,,,0,,0.39,9.2,128.33,,6.3,66.4,66.49,Partially cloudy
"Sana'a, Yemen",5/3/2000,76.4,60.5,70.2,,,0,,,11.4,95,,3.7,79.2,50.46,Overcast
"Sana'a, Yemen",5/4/2000,80.7,59.1,72.4,,79.1,0,,,9.2,113.33,,2.7,23,36.23,Clear
"Sana'a, Yemen",5/5/2000,82.1,57.3,72.6,,79.7,0,,,13.9,46.67,,6.4,15.7,19.24,Clear
"Sana'a, Yemen",5/6/2000,82.7,59.1,71.9,,80.1,0,,,17.2,68.75,,7,20,19.81,Clear
"Sana'a, Yemen",5/7/2000,82.5,61.1,75.2,,80.1,0,,,11.4,330,,6.1,20,18.21,Clear
"Sana'a, Yemen",5/8/2000,83.6,68.1,78,,81.7,0,,,9.2,88,,6.6,24.3,30.82,Clear
"Sana'a, Yemen",5/9/2000,84.3,68.1,77.4,,81.6,0,,,11.4,195,,6.5,20,22.57,Clear
"Sana'a, Yemen",5/10/2000,83.9,71.7,76.9,,81.1,0,,,11.4,42.5,,12.6,28.9,20.13,Partially cloudy
"Sana'a, Yemen",5/11/2000,81.8,64.7,73.5,,79.5,0,,,16.1,64.44,,4.9,22.7,20.12,Clear
"Sana'a, Yemen",5/12/2000,83.9,60.9,75.9,,81,0,,,18.3,99.23,,6.6,31.9,20.09,Partially cloudy
"Sana'a, Yemen",5/13/2000,82.5,55.7,71.9,,80,0,,,11.4,100,,6.4,18.8,21.73,Clear
"Sana'a, Yemen",5/14/2000,86.1,71.7,79.3,,82.8,0,,,16.1,112.5,,6.2,63.8,21.7,Partially cloudy
